article_type.code;article.code;article.description;article.duree_validite
MP;FFP001073;AMBROXAN (GSP STO);180
MP;FFP002026;BENZ SAL (GSP STO);180
MP;FFP003043;CEDRAMBER (GSP STO);180
MP;FFP004002;DAMASCENONE (GSP STO) 004002;180
MP;FFP004004;DAMASCONE BETA (GSP STO) 004004;180
MP;FFP004005;DAMASCONE DELTA (GSP STO);180
MP;FFP005002;EBANOL (GSP STO);180
MP;FFP005055;EXALTOLIDE (FIRM) - GSP STO;180
MP;FFP007030;GERANYL ACET EXTRA (GSP STO) - 007030;180
MP;FFP008030;HEXENYL SAL, CIS 3 (GSP STO);180
MP;FFP009011;IONONE BETA (GSP STO);180
MP;FFP013057;METH ISO EUGENOL (GSP STO) - 013057;180
MP;FFP013134;MUSCENONE 962191 (GSP STO) 013134;180
MP;FFP016051;PHEN ETH PHEN ACETATE (GSP STO) - 016051;180
MP;FFP016062;PHENOXANOL (GSP STO);180
MP;FFP016099;POLYSANTOL (GSP STO) 016099;180
MP;FFP018015;ROSE OXIDE (GSP STO);180
MP;FFP019005;SANDALORE (GSP STO);180
MP;FFP021004;UNDECAVERTOL (GSP STO) - 021004;180
MP;FFP090011;DAMASCOL 4 (GSP STO) - 223366;180
MP;FFP090015;ISO RALDEINE 95 PURE (GSP STO) 104746;180
MP;TEU090040;DH TERPENYL ACET;180
MP;TEU090074;TH LYNALYL ACET;180
MP;TEU090083;BENZ ACET NAT;180
MP;TEU090097;AMBERMAX 50% DOWANOL TPM;180
MP;W000274;CEDRYL ACETATE;180
MP;W001065;GERANYL ACETATE A (neryl acet Wessel);180
