article_type.code;article.code;article.description;article.commentaire;article.collection
C;ABX231408D/ABX;JASMINE SOAP;12059537D;1
C;ABX231507A/ABX;LAVENDER EUCALYPTUS;12057750A;1
C;ABX231507A/ABX;LAVENDER EUCALYPTUS;12057750A;1
C;ABX231517I/ABX;SKIP AZUL;12059985I;1
C;ABX231647/ABX;LUX WAKE ME UP;12060002;1
C;ABX231760B/ABX;DOWNY VERDE;12060905B;1
C;ABX232076E/ABX;REXONA COTON DRY;12059972E;1
C;ABX232399A/ABX;OLIVE TOMATE HYPONATAK;12062715A;1
C;ABX232471/ABX;AMBRE EXTREME;12057706;1
C;ABX232579/MGU;STELLA LOUKOUM ROSE;12060495;1
C;ABX232690B/ABX;CITRUS HERBAL;12059550B;1
C;ABX232690M/ABX;CITRUS HERBAL STANHOME;12059550M;1
C;ABX232858A/ABX;PURE CASHMERE;12058329A;1
C;ABX232859C/ABX;AGUA  AZUL;12060216C;1
C;ABX232987A/ABX;VIOLET SENSATION APC;12059499A;1
C;ABX232988A/ABX;TENTATION VIOLET APC;12058595A;1
C;ABX232992/ABX;SOAP PASSION DE JASMIN;12059713;1
C;ABX233253/ABX;MINT 100%;12061481;1
C;ABX233289A/DGI;SNOW JASMIN ORCHID A PARTIR DGFLO476;12061002A;1
C;ABX233464B/ABX;PECHE;12061414B;1
C;ABX233537/DGI;NORIT CUIDADO TOTAL;12060727;1
C;ABX233541A/ABX;BLACKBERY MYRTILLES DGFRUI06K;12060940A;1
C;ABX233541D/ABX;BLACKBERY MYRTILLES DGFRUI06K;12060940D;1
C;ABX234172A/ABX;ABRICOT 100% NAT A PARTIR JSFRUI089;12061794A;1
C;ABX234298B/ABX;ORANGE BLOSSOM A PARTIR DE LA  RFJS009A;12061696B;1
C;ANA030546BF/ANA;NUN W/ ALLERGENS FOR SHAMPOO+SATINIQUE;12047863BF;1
C;ANL034280AV/ANL;VERSENSAS 92AV;12052788AV;1
C;ANL034280AW/ANL;VERSENSAS 92AW;12052788AW;1
C;ANL090796C/ANL;DOUCETTE 796C;12041582C;1
