article_type.code;article.code;article.description
S;D-00059169;INDOLE CX [FFP] @ 1 % in DPG
S;D-00059171;VANILLIN CX [FFP] @ 10 % in DPG
S;D-00059173;INDOLE CX [FFP] @ 10 % in IPM
S;D-00059174;VANILLIN [FFP] @ 10 % in IPM
S;D-00059175;CALONE 1951 [FFP] @ 10 % in TEC
S;D-00059177;CALONE 1951 [FFP] @ 1 % in DPG
S;D-00059182;NONALACTONE, GAMMA RENEW [FFP] @ 1 % in DPG
S;D-00059188;CHAMOMILE OIL ROMAN [FFP] @ 10 % in TEC
S;D-00059192;CASTOREUM RDE ABS EXT FIR [FFP] @ 1 % in DPG
S;D-00059194;HEXYL ACET [FFP] @ 10 % in DPG
S;D-00059195;HEXEN-1-OL, CIS-3, [FFP] @ 10 % in IPM
S;D-00059196;INDOLE CX [FFP] @ 1 % in IPM
S;D-00059203;CHAMOMILE OIL ROMAN [FFP] @ 10 % in IPM
S;D-00059211;AURANTIOL [FFP] @ 50 % in TEC
S;D-00059212;AURANTIOL [FFP] @ 50 % in DPG
S;D-00059215;CORINAL [FFP] @ 10 % in TEC
S;D-00059222;HEXEN-1-OL, CIS-3, [FFP] @ 1 % in TEC
S;D-00059223;BENZALD [FFP] @ 10 % in TEC
S;D-00059232;TRIPLAL W/O BHT [FFP] @ 1 % in TEC
S;D-00059235;DECEN-1-AL, TRANS-4, [FFP] @ 1 % in DPG
S;D-00059239;DAMASCONE BETA [FFP] @ 1 % in DPG
S;D-00059240;MELONAL [FFP] @ 1 % in DPG
S;D-00059241;METH ISO EUGENOL [FFP] @ 10 % in DPG
S;D-00059246;VANILLIN [FFP] @ 1 % in DPG
S;D-00059252;LAVENDER ABS AT 113 EXT REYNAUD [FFP] @ 50 % in DPG
S;D-00059258;ADOXAL [FFP] @ 10 % in TEC
S;D-00059259;HEXEN-1-OL, CIS-3, [FFP] @ 10 % in TEC
S;D-00059260;HEXENYL ACETATE CIS 3 [FFP] @ 10 % in TEC
S;D-00059261;CASTOREUM RDE ABS EXT FIR [FFP] @ 50 % in DPG
S;D-00059262;DECEN-1-AL, TRANS-4, [FFP] @ 0.1 % in DPG
S;D-00059263;ADOXAL [FFP] @ 10 % in IPM
S;D-00059264;CALONE 1951 [FFP] @ 10 % in IPM
S;D-00059265;DAMASCONE BETA [FFP] @ 10 % in IPM
S;D-00059266;HEXENYL ACETATE CIS 3 [FFP] @ 10 % in IPM
S;D-00059267;MELONAL [FFP] @ 10 % in IPM
S;D-00059285;DIMETH SULFIDE @ 1% TEC [FFP] @ 1 % in DPG
S;D-00059286;UNDECALACTONE GAMMA [FFP] @ 1 % in DPG
S;D-00059295;PHEN ETH ALCOHOL [FFP] @ 1 % in DPG
S;D-00059296;VANILLIN CX [FFP] @ 1 % in DPG
S;D-00059303;UNDECAVERTOL [FFP] @ 10 % in DPG
S;D-00059304;CINNAMON BARK OIL CEYLON EO IFF [FFP] @ 1 % in DPG
S;D-00059305;DAMASCONE DELTA [FFP] @ 1 % in DPG
S;D-00059313;EUGENOL [FFP] @ 10 % in IPM
S;D-00059314;UNDECALACTONE GAMMA [FFP] @ 10 % in TEC
S;D-00059315;RASPBERRY KETONE [FFP] @ 1 % in DPG
S;D-00059316;ALLYL CYCLOHEXYL PROP [FFP] @ 10 % in DPG
S;D-00059317;ORRIS ABS EXT IFF [FFP] @ 10 % in TEC
S;D-00059318;ROSE DE MAI ABS EXT A.VIEILLE [FFP] @ 10 % in DPG
S;D-00059319;RASPBERRY KETONE [FFP] @ 10 % in TEC
S;D-00059320;ETH BUTYRATE [FFP] @ 10 % in IPM
S;D-00059321;CYCLOTENE [FFP] @ 10 % in IPM
S;D-00059325;MENTHE PAYS OIL N/D EO?MPE [FFP] @ 10 % in TEC
S;D-00059333;PEPPER BLACK OIL NAT EO BONTOUX [FFP] @ 1 % in DPG
S;D-00059334;NUTMEG OIL H.E. NAT EO CHARABOT [FFP] @ 1 % in DPG
S;D-00059335;ROSE DE MAI ABS EXT A.VIEILLE [FFP] @ 1 % in DPG
S;D-00059339;ROSE 193D SUB KF ROSE 023C LVMH SAFE [FFP] @ 10 % in TEC
S;D-00059351;AMBROXAN [FFP] @ 50 % in DPG
S;D-00059360;ROSE OXIDE [FFP] @ 10 % in IPM
S;D-00059361;NONALACTONE, GAMMA RENEW [FFP] @ 10 % in IPM
S;D-00059362;UNDECALACTONE GAMMA [FFP] @ 10 % in IPM
S;D-00059365;BENZALD [FFP] @ 10 % in IPM
S;D-00059369;CYCLAL C [FFP] @ 10 % in TEC
S;D-00059372;PHEN ETH ALCOHOL [FFP] @ 10 % in DPG
S;D-00059380;ORRIS ABS EXT IFF [FFP] @ 1 % in TEC
S;D-00059382;CYCLOTENE [FFP] @ 10 % in DPG
S;D-00059383;EUGENOL [FFP] @ 1 % in DPG
S;D-00059387;TRIPLAL W/O BHT [FFP] @ 1 % in DPG
S;D-00059390;ADOXAL [FFP] @ 1 % in DPG
S;D-00059391;CEDRAMBER [FFP] @ 10 % in DPG
S;D-00059392;GRISAMBROL B 947169 [FFP] @ 1 % in DPG
S;D-00059401;CINNAMON BARK OIL CEYLON EO IFF [FFP] @ 10 % in TEC
S;D-00059406;ROSE ABS ARTESSENCE F2236 [FFP] @ 10 % in DPG
S;D-00059407;TUBEROSE ABS INDIAN 100% PURE & NAT EXT A.VIEILLE [FFP] @ 1 % in DPG
S;D-00059409;BENZOIN SUMATRA RESINOIDE SUPER EXT BIOLANDES [FFP] @ 50 % in TEC
S;D-00059413;ISORALDEINE 95 PURE? %A% [FFP] @ 10 % in DPG
S;D-00059419;LAVENDER ABS AT 113 EXT REYNAUD [FFP] @ 10 % in DPG
S;D-00059420;ETH BUTYRATE [FFP] @ 10 % in TEC
S;D-00059435;POLYSANTOL [FFP] @ 10 % in DPG
S;D-00059440;CASTOREUM RDE ABS EXT FIR [FFP] @ 50 % in BB
S;D-00059444;DAMASCONE DELTA [FFP] @ 10 % in TEC
S;D-00059445;DAMASCENONE [FFP] @ 1 % in TEC
S;D-00059446;METH ANTH [FFP] @ 1 % in TEC
S;D-00059447;COUMARIN [FFP] @ 10 % in TEC
S;D-00059448;JASMIN ABS EXT INDIAN [FFP] @ 1 % in DPG
S;D-00059462;ANISE OIL CHINESE NAT EO REYNAUD [FFP] @ 10 % in DPG
S;D-00059466;DECEN-1-AL, TRANS-4, [FFP] @ 1 % in IPM
S;D-00059476;EUGENOL [FFP] @ 10 % in TEC
S;D-00059482;CYCLOTENE [FFP] @ 0.1 % in DPG
S;D-00059487;SANDALWOOD OIL AUSTRALIAN NAT EO M.ROMANCE [FFP] @ 10 % in DPG
S;D-00059488;CANTHOXAL [FFP] @ 10 % in DPG
S;D-00059489;ETH BUTYRATE [FFP] @ 1 % in TEC
S;D-00059492;NONALACTONE, GAMMA RENEW [FFP] @ 1 % in TEC
S;D-00059493;HEXYL ACET [FFP] @ 10 % in TEC
S;D-00059495;RASPBERRY KETONE [FFP] @ 1 % in TEC
S;D-00059496;METH ISO EUGENOL [FFP] @ 1 % in DPG
S;D-00059499;UNDECAVERTOL [FFP] @ 1 % in DPG
S;D-00059500;EBANOL [FFP] @ 10 % in DPG
S;D-00059504;SULFUROL [FFP] @ 1 % in DPG
S;D-00059506;OAKMOSS #1 [FFP] @ 1 % in TEC
S;D-00059507;HEXEN-1-OL, CIS-3, [FFP] @ 10 % in BB
S;D-00059508;HEXENYL ACETATE CIS 3 [FFP] @ 10 % in BB
S;D-00059509;DECEN-1-AL, TRANS-4, [FFP] @ 10 % in DPG
S;D-00059510;METH ISO EUGENOL [FFP] @ 1 % in TEC
S;D-00059511;OAKMOSS #1 [FFP] @ 1 % in DPG
S;D-00059514;EBANOL [FFP] @ 1 % in DPG
S;D-00059515;AURANTIOL [FFP] @ 1 % in DPG
S;D-00059516;AMBROXAN [FFP] @ 1 % in DPG
S;D-00059521;MELONAL [FFP] @ 1 % in TEC
S;D-00060009;PARMANTHEME GF 970861 SUB BL BASE 004C [FFP] @ 50 % in DPG
S;D-00060027;PARMANTHEME GF 970861 SUB BL BASE 004C [FFP] @ 1 % in BALC
S;D-00060056;PARMANTHEME GF 970861 SUB BL BASE 004C [FFP] @ 10 % in BB
S;D-00060135;PARMANTHEME GF 970861 SUB BL BASE 004C [FFP] @ 1 % in IPM
S;D-00060183;PARMANTHEME GF 970861 SUB BL BASE 004C [FFP] @ 1 % in DIETH PHTHALATE
S;D-00060420;METH ISO EUGENOL [FFP] @ 10 % in TEC
S;D-00060544;STYRAX OIL HONDURAS NAT EO A.VIEILLE [FFP] @ 10 % in BB
S;D-00060827;BENZ SAL [FFP] @ 10 % in DPG
S;D-00060892;SANDALWOOD OIL AUSTRALIAN NAT EO M.ROMANCE [FFP] @ 10 % in TEC
S;D-00060895;VANILLIN [FFP] @ 1 % in TEC
S;D-00060896;CLARY SAGE ABS 11/01717 EXT REYNAUD [FFP] @ 10 % in DPG
S;D-00060898;DECEN-1-AL, TRANS-4, [FFP] @ 1 % in TEC
S;D-00060899;ALLYL CAPROATE [FFP] @ 10 % in TEC
S;D-00060905;LEVISTAMEL 30% / TEC 70% [FFP] @ 10 % in TEC
S;D-00060906;CYCLOTENE [FFP] @ 0.1 % in TEC
S;D-00060911;UNDECAVERTOL [FFP] @ 10 % in TEC
S;D-00060912;POLYSANTOL [FFP] @ 10 % in TEC
S;D-00060913;UNDECAVERTOL [FFP] @ 1 % in TEC
S;D-00060914;IONONE BETA [FFP] @ 10 % in TEC
S;D-00060915;PATCHOULY OIL DEIRONIZED NAT PTTI [FFP] @ 10 % in TEC
S;D-00060994;ROSEMARY OIL MAROCCO NAT EO BERNARDI [FFP] @ 10 % in DPG
S;D-00061016;ROSE DE MAI ABS EXT A.VIEILLE [FFP] @ 0.1 % in DPG
S;D-00061155;BENZOIN SUMATRA RESINOIDE SUPER EXT BIOLANDES [FFP] @ 10 % in DPG
S;D-00061157;TRIPLAL W/O BHT [FFP] @ 10 % in TRIETH CITRATE (LOCAL)
S;D-00061164;HEXENYL ACETATE CIS 3 [FFP] @ 1 % in TEC
S;D-00064691;ORRIS ABS EXT IFF [FFP] @ 0.1 % in DPG
S;D-00064702;PATCHOULY OIL DM EO AGUZON [FFP] @ 10 % in TEC
S;D-00064816;BENZALD [FFP] @ 1 % in TEC
S;D-00064953;ALLYL CAPROATE [FFP] @ 1 % in DPG
S;D-00065485;DAMASCENONE TOTAL [FFP] @ 1 % in TEC
S;D-00065498;EUGENOL [FFP] @ 1 % in TEC
