code;flash;date
ABX234965E/ABX;101;20/04/2016
ABX234965F/ABX;99;02/05/2016
ABX234965G/ABX;89;03/05/2016
ABX234965H/ABX;81;06/06/2016
ABX234965I/ABX;89;27/06/2016
ABX235065R/IMP;96;19/08/2016
ABX235094L/ABX;58;06/06/2016
ABX235095J/ABX;106;06/06/2016
ABX235095N/ABX;107;02/08/2016
ABX235095R/ABX;105;22/02/2017
ABX235095T/ABX;106;17/03/2017
ABX235095W/ABX;111;06/06/2017
ABX235200R/ABX;85;12/05/2016
ABX235201S/ABX;90;14/10/2016
ABX235201T/ABX;91;17/10/2016
ABX235201U/ABX;95;19/10/2016
ABX235201V/ABX;94;21/10/2016
ABX235201W/ABX;94;24/10/2016
ABX235201X/ABX;96;25/10/2016
ABX235201Y/ABX;96;26/10/2016
ABX235201Z/ABX;98;26/10/2016
ABX235238AE/ABX;86;18/08/2017
ABX235238Q/ABX;81;02/08/2016
ABX235238R/ABX;79;01/08/2016
ABX235238T/ABX;79;31/08/2016
ABX235238W/ABX;79;05/01/2017
ABX235238Z/ABX;79;05/01/2017
ABX235338E/ABX;84;12/05/2016
ABX235480I/ABX;69;10/03/2017
ABX235537C/ABX;92;04/07/2016
ABX235603A/ABX;106;27/06/2016
ABX245417R/SCL;82;28/11/2016
ABX245417T/SCL;84;08/12/2016
ABX245417Y/SCL;83;08/12/2016
ABX266715J/ABX;91;10/06/2016
ABX266715L/ABX;103;20/04/2017
ABX266715M/ABX;108;29/06/2017
ABX266715N/ABX;52;29/06/2017
ABX266715O/ABX;116;03/07/2017
ABX266715P/ABX;116;04/07/2017
ABX266715R/ABX;123;06/07/2017
ABX266715S/ABX;124;17/07/2017
ABX292816I/ABX;97;29/06/2017
ABX292816J/ABX;98;18/07/2017
ABX293541E/ABX;85;09/09/2016
ABX293541F/ABX;85;09/09/2016
ABX293541L/ABX;80;06/06/2017
ABX293655B/ABX;118;03/07/2017
ABX293655C/ABX;106;05/07/2017
ABX293739/ABX;117;13/06/2016
ABX293739B/ABX;118;15/06/2016
ABX293741A/ABX;107;14/06/2016
ABX293741B/ABX;106;17/06/2016
ABX293741D/ABX;123;01/06/2017
ABX293741E/ABX;107;21/07/2017
ABX293945B/ABX;78;08/07/2016
ABX296789/ABX;110;03/10/2016
ABX296789A/ABX;111;12/10/2016
ABX297019/ABX;89;11/10/2016
ABX297024F/ABX;71;26/10/2016
ABX302160AE/IMP;65;07/02/2017
ABX302160AG/IMP;61;08/02/2017
ABX302160AH/IMP;62;08/02/2017
ABX302160F/IMP;68;17/01/2017
ABX302160S/IMP;64;25/01/2017
ABX302160T/IMP;60;25/01/2017
ABX302160Z/IMP;61;31/01/2017
ABX302162/ABX;70;22/12/2016
ABX302162A/ABX;75;23/12/2016
ABX302162AB/ABX;63;08/02/2017
ABX302162AC/ABX;65;08/02/2017
ABX302162AD/ABX;74;08/02/2017
ABX302162AE/ABX;69;08/02/2017
ABX302162AF/ABX;67;08/02/2017
ABX302162AG/ABX;67;08/02/2017
ABX302162AH/ABX;69;10/02/2017
ABX302162B/ABX;70;04/01/2017
ABX302162E/ABX;64;07/02/2017
ABX302162F/ABX;41;17/01/2017
ABX302162G/ABX;55;17/01/2017
ABX302162H/ABX;57;18/01/2017
ABX302162I/ABX;71;25/01/2017
ABX302162J/ABX;77;25/01/2017
ABX302162K/ABX;69;25/01/2017
ABX302162M/ABX;67;01/02/2017
ABX302162P/ABX;65;01/02/2017
ABX302162W/ABX;73;07/02/2017
ABX302162X/ABX;67;07/02/2017
ABX302162Y/ABX;68;07/02/2017
ABX302162Z/ABX;68;07/02/2017
ABX302430/ABX;107;04/01/2017
ABX302432/ABX;95;04/01/2017
ABX303139D/ABX;50;28/02/2017
ABX303141A/ABX;74;10/03/2017
ABX303172E/ABX;93;28/02/2017
ABX303635D/ABX;86;28/03/2017
ABX303635E/ABX;84;21/06/2017
ABX303635G/ABX;85;21/07/2017
ABX303635H/ABX;87;01/08/2017
ABX304026B/IMP;83;09/03/2017
ABX304027/ABX;78;03/03/2017
ABX304027A/ABX;77;03/03/2017
ABX304027B/ABX;76;09/03/2017
ABX304035/ABX;85;03/03/2017
ABX304035A/ABX;81;09/03/2017
ABX304231BE/FJJ;72;05/04/2017
ABX304418/ABX;85;31/03/2017
ABX304418A/ABX;85;21/04/2017
ABX304418B/ABX;86;04/07/2017
ABX304789A/ABX;76;06/04/2017
ABX305686C/ABX;83;28/06/2017
ABX305793G/ABX;90;04/08/2017
ABX307077A/ABX;92;03/08/2017
ABX307104T/ABX;94;30/08/2017
ABX307266A/ABX;85;25/08/2017
ADY113089F/ADY;82;24/04/2017
AJO215505AJ/AJO;84;31/08/2017
ANA105301K/ANA;85;09/09/2016
ANA307591J/ANA;81;22/09/2017
ANL034280AX/ANL;83;13/07/2016
ANL089969A/ANL;84;31/08/2017
ANL090796C/ANL;106;23/03/2017
ANL108956AR/ANL;99;31/08/2017
ANL161601/ANL;109;26/07/2017
ANL162816AG/ANL;96;02/08/2017
ANL162816Q/ANL;99;26/07/2017
ANL163544Q/ANL;84;13/07/2016
ANL163599AM/ANL;112;13/07/2016
ANL165364AY/ANL;113;21/11/2016
ANL165366BS/ANL;110;30/03/2017
ANL177948S/ANL;100;13/07/2016
ANL182100BD/ANL;113;01/04/2016
ANL182658A/ANL;107;26/07/2017
ANL227671G/ANL;98;26/07/2017
ANL228459Y/ANL;115;30/03/2017
ANL228743DM/ANL;117;26/09/2016
ANL228789R/ANL;89;15/07/2016
ANL228954AA/ANL;84;15/07/2016
ANL229031NK/ANL;76;10/10/2017
ANL229881G/ANL;88;13/07/2016
ANL230410AF/ANL;83;25/08/2017
ANL230449O/ANL;103;15/07/2016
ANL230509BM/ANL;116;26/09/2016
ANL230849L/ANL;103;28/04/2017
ANL230849R/ANL;114;02/06/2017
ANL230866B/ANL;115;15/07/2016
ANL231912H/ANL;66;13/07/2016
ANL231913/ANL;109;13/07/2016
ANL231914H/ANL;108;13/07/2016
ANL231915/ANL;94;13/07/2016
ANL232281AP/ANL;87;29/08/2017
ANL232281AQ/ANL;88;29/08/2017
ANL232281V/ANL;89;26/07/2017
ANL232603/ANL;109;13/07/2016
ANL232734C/ANL;109;30/03/2017
ANL232844A/ANL;90;13/07/2016
ANL235198W/MBA;76;26/07/2017
ANL235198Y/MBA;73;28/08/2017
ANL235199C/ANL;75;26/07/2017
ANL235248AG/ANL;82;29/08/2017
ANL235248AH/ANL;82;29/08/2017
ANL235248J/ANL;90;26/07/2017
ANL235551A/ANL;107;23/01/2017
ANL296984AE/ANL;106;12/06/2017
ANL302549B/ANL;105;30/03/2017
ATA266751E/ATA;92;06/10/2017
ATA301031D/ATA;106;05/10/2017
BIL021912DQ/DGI;101;17/03/2017
BIL030537GZ/DGI;97;21/11/2016
BIL036004AM/BIL;61;07/10/2016
BIL036007U/BIL;84;04/05/2016
BIL036719AT/BIL;81;04/08/2016
BIL036719BH/BIL;86;01/12/2016
BIL036719BJ/BIL;86;01/12/2016
BIL088085BQ/BIL;92;10/08/2017
BIL088185AI/BIL;94;11/07/2016
BIL088185AK/BIL;89;11/07/2016
BIL088185AL/BIL;91;25/07/2016
BIL088185AP/FJJ;71;31/08/2017
BIL088273AC/BIL;93;29/06/2017
BIL089414L/BIL;69;23/05/2016
BIL089418BB/BIL;100;13/12/2016
BIL089418DV/BIL;88;29/09/2016
BIL089418EA/BIL;80;11/05/2016
BIL089418ED/BIL;78;23/05/2016
BIL089418EO/BIL;76;16/09/2016
BIL089418GQ/BIL;81;22/06/2017
BIL089764K/BIL;97;07/02/2017
BIL090372BJ/BIL;97;20/03/2017
BIL090442M/BIL;76;13/06/2017
BIL090442Z/BIL;65;13/06/2017
BIL090603Y/BIL;62;04/08/2016
BIL090830FD/BIL;66;10/06/2016
BIL090830FE/BIL;66;10/06/2016
BIL090830GN/BIL;62;17/03/2017
BIL090830GR/BIL;64;21/02/2017
BIL090925E/BIL;113;25/08/2017
BIL091480BL/BIL;92;01/12/2016
BIL091480BN/BIL;90;01/12/2016
BIL091580K/BIL;73;08/09/2016
BIL091580L/BIL;72;08/09/2016
BIL091788CV/BIL;95;18/01/2017
BIL091919BL/BIL;81;12/06/2017
BIL091919BZ/BIL;74;29/09/2016
BIL091919CC/BIL;72;05/10/2016
BIL092194GI/DGI;100;17/03/2017
BIL092253D/BIL;50;08/07/2016
BIL102493BN/BIL;112;13/10/2016
BIL111736BC/BIL;85;15/11/2016
BIL161836AC/BIL;86;25/08/2017
BIL161836X/BIL;92;10/06/2016
BIL162150G/BIL;70;21/11/2016
BIL177216K/SKO;105;24/01/2017
BIL181159DD/BIL;78;19/01/2017
BIL181416B/BIL;50;08/07/2016
BIL181416E/BIL;52;10/05/2017
BIL181770AV/BIL;105;23/05/2016
BIL182022X/BIL;82;23/05/2016
BIL182022Z/BIL;78;23/05/2016
BIL182210AR/BIL;69;10/06/2016
BIL182210AT/BIL;69;01/07/2016
BIL182210AW/BIL;70;30/06/2016
BIL182619AW/BIL;99;10/06/2016
BIL182894F/BIL;109;15/06/2016
BIL183213O/BIL;124;10/06/2016
BIL224376T/BPM;69;17/08/2016
BIL228563F/BIL;99;08/07/2016
BIL228832A/BIL;69;09/02/2017
BIL228832B/BIL;77;01/12/2016
BIL228832D/BIL;73;01/12/2016
BIL228832L/BIL;54;02/06/2017
BIL228990G/BIL;85;24/04/2017
BIL231138D/BIL;88;09/02/2017
BIL231181E/DGI;81;31/01/2017
BIL232538V/BIL;105;04/08/2016
BIL232748W/BIL;94;11/04/2017
BIL233152X/BIL;101;21/11/2016
BIL233152Z/BIL;98;16/11/2016
BIL233363AA/BIL;89;25/08/2017
BIL233363N/BIL;92;25/08/2017
BIL233363W/PCH;78;29/09/2016
BIL233373DD/BIL;79;31/01/2017
BIL233373DH/BIL;76;01/03/2017
BIL233373EA/BIL;97;29/06/2017
BIL233482B/BIL;96;08/07/2016
BIL233594H/BIL;80;09/10/2017
BIL233594Q/BIL;81;16/06/2017
BIL233705U/BIL;90;19/01/2017
BIL233707AY/BIL;100;04/05/2016
BIL233780AB/BIL;88;21/04/2017
BIL233780V/BIL;45;07/06/2017
BIL233780W/BIL;50;24/04/2017
BIL233780Z/BIL;53;28/04/2017
BIL233900F/BIL;88;07/10/2016
BIL233916AG/BIL;100;15/03/2017
BIL234017A/BIL;75;31/08/2017
BIL234410B/RFF;90;09/05/2016
BIL234595R/BIL;98;31/03/2016
BIL234595S/BIL;95;01/04/2016
BIL234740B/BIL;120;10/05/2017
BIL234899AC/BIL;79;07/02/2017
BIL234899AF/BIL;84;19/01/2017
BIL234899AG/BIL;82;31/01/2017
BIL234899AJ/BIL;79;01/03/2017
BIL234899AL/BIL;77;01/03/2017
BIL234927J/BIL;88;07/02/2017
BIL234969F/BIL;82;12/05/2016
BIL235001H/BIL;98;14/12/2016
BIL235177J/BIL;106;09/02/2017
BIL235180J/BIL;112;31/03/2016
BIL235180M/BIL;100;10/06/2016
BIL235298/SLT;85;03/08/2016
BIL235340AU/BIL;60;08/08/2016
BIL235340AX/BIL;106;13/10/2016
BIL235340AZ/BIL;104;14/11/2016
BIL235340BA/BIL;105;14/11/2016
BIL235340BH/BIL;104;11/01/2017
BIL235340BJ/BIL;106;12/01/2017
BIL235392I/BIL;88;12/06/2017
BIL235638B/BIL;100;01/12/2016
BIL235638C/BIL;99;01/12/2016
BIL235639F/BIL;118;13/10/2016
BIL235647B/BIL;57;24/04/2017
BIL235666E/BIL;71;16/09/2016
BIL235666G/BIL;71;16/09/2016
BIL235666M/BIL;74;05/10/2016
BIL235666M/BIL;72;26/10/2016
BIL235757F/BIL;106;09/02/2017
BIL235757G/BIL;106;10/06/2016
BIL235757J/BIL;91;21/02/2017
BIL235880C/BIL;105;13/10/2016
BIL235880J/BIL;86;25/08/2017
BIL235929F/BIL;77;21/03/2017
BIL235988C/BIL;74;02/06/2016
BIL235988E/BIL;75;02/06/2016
BIL235988F/BIL;71;02/06/2016
BIL237216D/BIL;68;05/07/2016
BIL245263B/BIL;80;24/03/2016
BIL245263C/BIL;79;24/03/2016
BIL245268/BIL;93;07/10/2016
BIL245348P/BIL;111;13/10/2016
BIL245405C/BIL;93;07/10/2016
BIL245434B/BIL;94;31/03/2016
BIL245434D/BIL;97;23/01/2017
BIL245582F/BIL;66;07/10/2016
BIL245582H/BIL;65;25/07/2016
BIL245582K/BIL;64;25/07/2016
BIL245627A/BIL;106;07/06/2017
BIL252286L/BIL;97;10/06/2016
BIL252286Z/BIL;86;19/01/2017
BIL266720/BIL;97;09/02/2017
BIL266720D/BIL;97;26/05/2017
BIL266779B/BIL;82;29/09/2016
BIL266779C/BIL;74;10/06/2016
BIL267937E/BIL;91;09/02/2017
BIL268001AO/BIL;113;01/06/2017
BIL268001AP/BIL;113;01/06/2017
BIL273841F/BIL;91;07/02/2017
BIL279894R/BIL;74;07/02/2017
BIL286326D/BIL;71;10/06/2016
BIL292852D/BIL;73;10/06/2016
BIL292852E/BIL;72;09/02/2017
BIL292917C/BIL;111;11/07/2016
BIL292917D/BIL;111;11/07/2016
BIL293448E/BIL;71;21/03/2017
BIL293448I/BIL;76;21/03/2017
BIL293827A/BIL;73;05/07/2016
BIL294634C/BIL;105;08/08/2016
BIL294702G/BIL;97;10/03/2017
BIL295038F/BIL;109;13/10/2016
BIL295040I/BIL;107;13/10/2016
BIL295241A/BIL;97;06/07/2017
BIL295730D/BIL;78;07/02/2017
BIL296860B/BIL;101;13/10/2016
BIL297979G/BIL;96;09/11/2016
BIL297979H/BIL;95;09/11/2016
BIL300764A/BIL;89;07/02/2017
BIL302848/BIL;77;20/04/2017
